mes,mes_texto,tipo_semana,hora_periodo,hora_inicio,hora_fin,Time,periodo_tarifario
6,Jun,Weekday,22,21,22,21-22,P3
6,Jun,Weekday,23,22,23,22-23,P4
6,Jun,Weekday,24,23,24,23-24,P4
6,Jun,Weekend,1,0,1,0-1,P6
6,Jun,Weekend,2,1,2,1-2,P6
6,Jun,Weekend,3,2,3,2-3,P6
6,Jun,Weekend,4,3,4,3-4,P6
6,Jun,Weekend,5,4,5,4-5,P6
6,Jun,Weekend,6,5,6,5-6,P6
6,Jun,Weekend,7,6,7,6-7,P6
6,Jun,Weekend,8,7,8,7-8,P6
6,Jun,Weekend,9,8,9,8-9,P6
6,Jun,Weekend,10,9,10,9-10,P6
6,Jun,Weekend,11,10,11,10-11,P6
6,Jun,Weekend,12,11,12,11-12,P6
6,Jun,Weekend,13,12,13,12-13,P6
6,Jun,Weekend,14,13,14,13-14,P6
6,Jun,Weekend,15,14,15,14-15,P6
6,Jun,Weekend,16,15,16,15-16,P6
6,Jun,Weekend,17,16,17,16-17,P6
6,Jun,Weekend,18,17,18,17-18,P6
6,Jun,Weekend,19,18,19,18-19,P6
6,Jun,Weekend,20,19,20,19-20,P6
6,Jun,Weekend,21,20,21,20-21,P6
6,Jun,Weekend,22,21,22,21-22,P6
6,Jun,Weekend,23,22,23,22-23,P6
6,Jun,Weekend,24,23,24,23-24,P6
7,Jul,Weekday,1,0,1,0-1,P6
7,Jul,Weekday,2,1,2,1-2,P6
7,Jul,Weekday,3,2,3,2-3,P6
7,Jul,Weekday,4,3,4,3-4,P6
7,Jul,Weekday,5,4,5,4-5,P6
7,Jul,Weekday,6,5,6,5-6,P6
7,Jul,Weekday,7,6,7,6-7,P6
7,Jul,Weekday,8,7,8,7-8,P6
7,Jul,Weekday,9,8,9,8-9,P2
7,Jul,Weekday,10,9,10,9-10,P1
7,Jul,Weekday,11,10,11,10-11,P1
7,Jul,Weekday,12,11,12,11-12,P1
7,Jul,Weekday,13,12,13,12-13,P1
7,Jul,Weekday,14,13,14,13-14,P1
7,Jul,Weekday,15,14,15,14-15,P2
7,Jul,Weekday,16,15,16,15-16,P2
7,Jul,Weekday,17,16,17,16-17,P2
7,Jul,Weekday,18,17,18,17-18,P2
7,Jul,Weekday,19,18,19,18-19,P1
7,Jul,Weekday,20,19,20,19-20,P1
7,Jul,Weekday,21,20,21,20-21,P1
7,Jul,Weekday,22,21,22,21-22,P1
7,Jul,Weekday,23,22,23,22-23,P2
7,Jul,Weekday,24,23,24,23-24,P2
7,Jul,Weekend,1,0,1,0-1,P6
7,Jul,Weekend,2,1,2,1-2,P6
7,Jul,Weekend,3,2,3,2-3,P6
7,Jul,Weekend,4,3,4,3-4,P6
7,Jul,Weekend,5,4,5,4-5,P6
