id,year,month,avg_t,avg_max_t,avg_min_t,max_t,min_t,high_min_t,low_max_t,days_frost,total_p,max_p,days_light_p,days_moderate_p,days_rain_p,days_snow_p,days_hail_p,gust_dir_w,gust_speed_w,days_strong_w,days_very_strong_w,avg_speed_w,avg_daily_s,pct_s,avg_pss,max_pss,min_pss,avg_sfc_pss
1495,1975,6,16.70,21.10,12.40,30.20,6.00,16.40,14.40,0.00,22.30,8.40,7.00,0.00,7.00,0.00,0.00,360.00,47.88,0.00,0.00,11.88,,,990.20,996.80,983.70,1020.10
1495,1975,7,18.60,23.30,13.80,33.40,10.40,17.00,18.00,0.00,25.00,14.30,6.00,1.00,,,,270.00,51.84,0.00,0.00,11.88,,,989.30,995.50,981.70,1019.00
1495,1975,8,19.70,25.00,14.30,32.00,10.40,18.00,21.20,0.00,8.10,5.80,3.00,0.00,3.00,0.00,0.00,360.00,46.08,0.00,0.00,14.04,,,990.00,996.90,983.20,1019.60
1495,1975,9,16.60,20.70,12.50,28.20,8.00,16.80,15.20,0.00,261.30,80.00,12.00,8.00,12.00,0.00,0.00,200.00,69.12,4.00,0.00,11.88,,,989.80,1000.30,981.10,1019.80
1495,1975,10,15.20,19.00,11.50,26.40,4.00,15.00,11.00,0.00,168.00,33.90,14.00,7.00,14.00,0.00,0.00,230.00,72.00,2.00,0.00,11.16,,,991.20,999.70,981.30,1021.50
1495,1975,11,10.90,14.60,7.10,22.00,3.00,11.80,9.60,0.00,154.90,31.00,13.00,7.00,13.00,0.00,0.00,360.00,50.04,0.00,0.00,10.08,,,992.90,1001.20,978.40,1023.70
1495,1975,12,6.80,11.10,2.60,16.00,-1.20,6.60,7.20,5.00,49.00,28.30,5.00,2.00,5.00,0.00,0.00,200.00,74.88,3.00,0.00,11.88,,,991.80,1004.70,968.10,1023.10
1495,1976,1,7.10,11.90,2.30,16.40,-1.00,5.40,5.00,3.00,196.10,76.40,7.00,4.00,7.00,0.00,0.00,290.00,78.84,2.00,0.00,9.00,,,994.70,1008.40,962.50,1026.00
1495,1976,2,9.30,13.00,5.60,21.20,1.00,10.00,6.20,0.00,118.50,24.00,15.00,5.00,15.00,0.00,0.00,270.00,47.16,0.00,0.00,10.08,,,989.70,1008.80,961.50,1020.60
1495,1976,3,10.10,14.60,5.60,23.40,1.40,10.00,8.00,0.00,176.40,48.50,11.00,7.00,11.00,0.00,0.00,320.00,69.12,3.00,0.00,11.16,,,989.80,1002.00,971.10,1020.60
1495,1976,4,11.30,16.10,6.60,23.00,2.00,10.00,11.40,0.00,61.60,22.00,8.00,4.00,8.00,0.00,0.00,360.00,72.00,2.00,0.00,15.84,,,985.90,995.90,973.50,1016.50
1495,1976,5,14.30,19.20,9.40,25.40,5.80,14.00,15.00,0.00,3.90,1.60,4.00,0.00,4.00,0.00,0.00,360.00,52.92,0.00,0.00,15.12,,,988.70,995.50,978.50,1019.00
1495,1976,6,20.00,25.60,14.30,34.00,11.00,19.00,18.40,0.00,3.40,2.00,3.00,0.00,3.00,0.00,0.00,20.00,50.04,0.00,0.00,12.96,,,990.00,997.60,976.10,1019.70
1495,1976,7,19.60,24.00,15.30,33.00,12.00,19.00,18.20,0.00,85.70,27.60,10.00,4.00,10.00,0.00,0.00,360.00,42.12,0.00,0.00,12.96,,,989.30,993.90,984.70,1019.00
1495,1976,8,19.00,23.80,14.20,31.00,11.60,17.40,20.40,0.00,62.40,21.90,6.00,2.00,6.00,0.00,0.00,360.00,36.00,0.00,0.00,10.08,,,988.90,995.30,979.50,1018.60
1495,1976,9,16.20,20.20,12.20,25.60,8.00,16.00,15.00,0.00,186.40,42.30,13.00,6.00,13.00,0.00,0.00,180.00,60.84,1.00,0.00,11.88,,,987.10,994.40,972.00,1017.10
1495,1976,10,12.90,15.80,10.10,23.60,6.00,15.00,8.80,0.00,547.20,78.80,23.00,14.00,23.00,0.00,0.00,180.00,75.96,2.00,0.00,12.96,,,983.00,994.10,964.10,1013.30
1495,1976,11,9.30,12.70,6.00,16.60,1.20,11.20,10.00,0.00,282.90,70.00,15.00,9.00,15.00,0.00,0.00,230.00,54.00,0.00,0.00,10.08,,,992.40,1001.10,973.50,1023.40
1495,1976,12,8.90,11.40,6.40,15.40,0.00,11.60,7.40,2.00,470.20,78.60,20.00,14.00,20.00,0.00,0.00,290.00,83.16,5.00,0.00,11.88,,,981.90,994.30,964.30,1012.60
1495,1977,1,7.40,10.40,4.50,14.40,0.00,12.40,4.60,2.00,361.20,97.10,20.00,12.00,19.00,1.00,0.00,200.00,65.88,2.00,0.00,10.08,,,985.60,1001.90,973.20,1016.60
1495,1977,2,9.50,11.70,7.20,17.60,1.40,12.60,8.60,0.00,624.20,81.00,25.00,21.00,25.00,0.00,0.00,230.00,72.00,4.00,0.00,12.96,2.00,19.00,986.10,1002.30,967.60,1016.90
1495,1977,3,10.90,14.80,7.10,23.40,1.00,12.00,9.60,0.00,257.50,47.60,19.00,9.00,16.00,0.00,3.00,180.00,65.16,6.00,0.00,14.04,5.40,45.00,991.50,1002.10,980.10,1022.20
1495,1977,4,11.50,15.60,7.40,25.00,2.00,10.40,8.00,0.00,112.50,36.60,12.00,4.00,12.00,0.00,0.00,180.00,56.88,1.00,0.00,12.96,7.50,56.00,990.80,1003.20,977.90,1021.40
1495,1977,5,12.20,16.00,8.40,23.00,2.40,11.60,10.00,0.00,140.30,26.00,18.00,5.00,18.00,0.00,0.00,340.00,50.04,0.00,0.00,12.96,6.80,46.00,988.10,994.80,980.90,1018.60
1495,1977,6,14.70,18.70,10.70,25.40,6.60,14.40,12.00,0.00,157.10,45.70,11.00,4.00,11.00,0.00,0.00,180.00,41.04,0.00,0.00,11.16,8.00,52.00,988.30,994.40,977.20,1018.50
1495,1977,7,16.80,21.10,12.60,28.60,9.00,15.60,15.40,0.00,63.90,28.10,9.00,2.00,9.00,0.00,0.00,360.00,33.84,0.00,0.00,11.88,8.60,58.00,989.70,994.80,983.60,1019.70
1495,1977,8,16.80,20.80,12.80,25.20,9.40,15.00,16.20,0.00,56.50,24.00,9.00,1.00,9.00,0.00,0.00,360.00,33.12,0.00,0.00,11.16,8.00,58.00,988.60,996.30,981.60,1018.50
1495,1977,9,19.70,24.70,14.70,32.60,11.00,19.60,17.40,0.00,41.60,36.20,5.00,1.00,5.00,0.00,0.00,180.00,29.16,0.00,0.00,6.84,8.20,66.00,990.50,998.40,981.10,1020.20
1495,1977,10,14.50,18.20,10.70,24.00,6.40,14.40,12.20,0.00,279.30,73.70,16.00,6.00,16.00,0.00,0.00,250.00,54.00,0.00,0.00,6.84,5.20,47.00,986.70,998.30,968.90,1016.90
1495,1977,11,10.40,13.40,7.50,20.60,0.80,13.20,8.20,0.00,91.00,25.90,17.00,2.00,16.00,0.00,1.00,180.00,29.16,0.00,0.00,3.96,2.60,26.00,991.30,1001.20,976.70,1022.10
1495,1977,12,10.90,14.00,7.80,20.00,2.00,14.80,7.00,0.00,309.00,38.40,21.00,14.00,21.00,0.00,0.00,270.00,48.96,0.00,0.00,11.88,2.70,29.00,987.10,1003.90,959.20,1017.70
1495,1978,1,7.90,10.80,5.00,17.40,1.00,10.40,5.40,0.00,230.60,46.20,21.00,10.00,21.00,0.00,0.00,200.00,65.16,2.00,0.00,10.08,3.10,33.00,991.20,1000.70,974.50,1022.30
1495,1978,2,9.40,12.40,6.50,15.60,-2.00,12.40,5.80,2.00,382.10,63.70,21.00,15.00,19.00,1.00,1.00,230.00,60.84,3.00,0.00,12.96,3.20,31.00,980.60,1000.40,962.80,1011.20
1495,1978,3,9.50,12.70,6.30,18.60,2.40,9.00,8.00,0.00,203.60,38.00,21.00,8.00,20.00,0.00,1.00,270.00,48.96,0.00,0.00,10.08,4.50,38.00,993.10,1004.00,972.50,1024.10
1495,1978,4,9.90,13.00,6.80,25.00,3.00,10.40,10.60,0.00,124.30,24.40,19.00,3.00,19.00,0.00,0.00,360.00,33.84,0.00,0.00,11.88,4.20,32.00,984.50,994.70,967.10,1015.10
1495,1978,5,13.10,17.00,9.20,26.00,4.20,11.80,10.00,0.00,109.50,27.40,13.00,5.00,13.00,0.00,0.00,20.00,37.08,0.00,0.00,11.88,6.90,47.00,988.20,998.80,974.70,1018.60
1495,1978,6,15.50,19.80,11.30,26.80,7.40,15.00,12.20,0.00,87.30,17.60,12.00,4.00,12.00,0.00,0.00,320.00,36.00,0.00,0.00,11.88,7.20,48.00,988.50,996.40,981.70,1018.60
1495,1978,7,17.60,22.80,12.50,28.00,9.00,16.00,17.00,0.00,2.10,0.70,4.00,0.00,4.00,0.00,0.00,360.00,42.12,0.00,0.00,12.96,11.10,74.00,991.20,998.00,984.80,1021.10
1495,1978,8,18.60,23.50,13.60,32.00,9.40,18.00,18.40,0.00,1.60,1.60,1.00,0.00,1.00,0.00,0.00,320.00,39.96,0.00,0.00,12.96,10.00,72.00,989.60,995.90,984.00,1019.40
1495,1978,9,20.30,25.80,14.90,32.60,11.00,19.00,18.00,0.00,45.80,37.90,5.00,1.00,5.00,0.00,0.00,360.00,39.96,0.00,0.00,11.88,7.80,63.00,991.50,997.20,981.20,1021.30
1495,1978,10,15.40,20.50,10.20,26.00,5.80,14.00,16.60,0.00,45.60,14.40,6.00,2.00,6.00,0.00,0.00,180.00,57.96,1.00,0.00,11.88,7.00,64.00,991.90,998.80,975.90,1022.20
1495,1978,11,11.80,15.80,7.80,21.40,4.40,13.00,10.00,0.00,36.80,9.10,9.00,0.00,9.00,0.00,0.00,360.00,65.16,2.00,0.00,9.00,5.30,54.00,996.80,1005.70,983.60,1027.60
1495,1978,12,10.00,12.50,7.50,16.80,-1.00,12.00,5.00,2.00,925.60,175.00,26.00,17.00,26.00,0.00,0.00,180.00,109.08,17.00,2.00,20.88,1.70,19.00,980.00,991.30,963.20,1010.50
1495,1979,1,8.00,11.00,5.00,14.40,1.00,10.40,7.00,0.00,288.50,53.80,21.00,10.00,21.00,0.00,0.00,270.00,78.84,3.00,0.00,11.16,3.20,34.00,984.30,997.10,960.70,1015.20
1495,1979,2,9.20,11.90,6.60,15.00,-2.40,13.00,6.40,2.00,548.90,69.80,20.00,15.00,19.00,0.00,1.00,270.00,96.84,10.00,1.00,16.92,3.70,34.00,984.20,1003.50,954.30,1014.90
1495,1979,3,8.30,11.40,5.30,15.40,2.00,12.00,7.20,0.00,250.10,56.60,24.00,7.00,24.00,0.00,0.00,200.00,66.96,2.00,0.00,12.96,4.00,33.00,987.90,1005.60,970.50,1018.80
1495,1979,4,10.60,14.40,6.80,21.40,4.00,11.00,9.80,0.00,214.10,74.60,16.00,7.00,15.00,0.00,1.00,200.00,79.92,3.00,0.00,18.00,6.30,47.00,989.70,1001.10,962.10,1020.40
1495,1979,5,13.40,17.60,9.30,32.00,5.00,18.00,10.00,0.00,215.60,49.90,13.00,7.00,13.00,0.00,0.00,180.00,50.04,0.00,0.00,15.84,7.00,49.00,989.50,997.60,980.40,1019.90
1495,1979,6,17.80,23.30,12.30,29.60,8.00,16.60,17.20,0.00,20.00,11.60,4.00,1.00,4.00,0.00,0.00,360.00,50.04,0.00,0.00,15.84,10.50,69.00,990.10,995.90,981.70,1019.90
1495,1979,7,20.60,25.80,15.30,33.60,12.40,19.80,18.00,0.00,19.00,13.00,4.00,1.00,4.00,0.00,0.00,160.00,36.00,0.00,0.00,14.04,10.00,67.00,990.50,998.10,984.30,1020.20
1495,1979,8,19.10,24.30,14.00,32.40,10.80,17.40,20.40,0.00,24.50,10.50,6.00,1.00,6.00,0.00,0.00,360.00,47.16,0.00,0.00,15.12,9.30,67.00,990.00,996.80,981.20,1019.80
1495,1979,9,17.90,22.60,13.10,29.00,9.00,16.00,18.60,0.00,9.30,4.70,5.00,0.00,5.00,0.00,0.00,360.00,50.04,0.00,0.00,12.96,7.80,62.00,991.60,999.20,986.40,1021.50
1495,1979,10,13.70,17.10,10.20,22.60,6.40,14.60,12.00,0.00,286.20,49.40,19.00,9.00,19.00,0.00,0.00,180.00,60.84,1.00,0.00,11.16,4.80,44.00,982.40,997.20,959.50,1012.50
1495,1979,11,10.90,14.80,7.10,20.40,1.40,13.20,8.60,0.00,153.70,53.40,10.00,5.00,10.00,0.00,0.00,340.00,56.16,1.00,0.00,9.00,5.30,54.00,994.00,1003.20,978.80,1024.90
1495,1979,12,9.70,12.70,6.80,18.00,0.40,11.40,7.60,0.00,286.40,55.50,17.00,8.00,17.00,0.00,0.00,180.00,72.00,4.00,0.00,14.04,2.70,29.00,993.60,1004.10,978.70,1024.60
1495,1980,1,8.70,11.70,5.70,18.60,-0.80,11.40,6.00,5.00,180.90,29.70,16.00,7.00,16.00,0.00,0.00,20.00,72.00,3.00,0.00,11.88,2.80,30.00,988.70,1003.60,972.90,1019.70
1495,1980,2,9.60,13.00,6.20,18.00,2.60,11.40,8.60,0.00,160.70,40.40,16.00,7.00,16.00,0.00,0.00,200.00,51.12,0.00,0.00,9.00,3.70,34.00,992.30,1002.70,979.30,1023.20
1495,1980,3,10.10,13.70,6.50,21.80,2.80,12.20,9.40,0.00,245.30,59.80,18.00,8.00,18.00,0.00,0.00,200.00,68.04,3.00,0.00,12.96,4.40,37.00,986.70,998.10,968.30,1017.40
1495,1980,4,13.10,18.70,7.50,23.60,4.00,11.00,8.00,0.00,58.80,33.30,6.00,3.00,6.00,0.00,0.00,360.00,50.04,0.00,0.00,15.12,8.90,66.00,988.30,997.90,977.90,1018.70
1495,1980,5,13.40,17.40,9.40,26.60,5.00,11.40,12.60,0.00,149.30,28.60,13.00,6.00,13.00,0.00,0.00,230.00,60.12,1.00,0.00,12.96,7.40,50.00,987.00,996.10,973.50,1017.30
1495,1980,6,16.20,20.30,12.20,31.60,9.40,18.00,15.40,0.00,121.40,37.60,12.00,4.00,12.00,0.00,0.00,20.00,54.00,0.00,0.00,14.04,9.00,59.00,990.50,996.90,978.40,1020.60
1495,1980,7,17.50,22.20,12.80,27.40,10.00,16.00,16.20,0.00,97.00,34.70,12.00,3.00,12.00,0.00,0.00,20.00,41.04,0.00,0.00,14.04,10.20,68.00,990.60,1001.50,980.30,1020.60
1495,1980,8,19.70,24.00,15.40,35.00,11.40,23.00,18.40,0.00,28.10,14.60,6.00,2.00,6.00,0.00,0.00,360.00,42.84,0.00,0.00,11.16,9.10,66.00,991.30,997.70,983.10,1021.00
1495,1980,9,18.60,23.40,13.70,34.40,11.40,17.20,16.40,0.00,50.50,22.80,7.00,2.00,7.00,0.00,0.00,360.00,47.88,0.00,0.00,11.16,8.00,64.00,991.60,999.50,978.40,1021.50
1495,1980,10,14.70,18.50,10.90,29.40,5.00,18.00,11.00,0.00,164.70,44.60,16.00,6.00,16.00,0.00,0.00,,,,,9.00,5.10,46.00,989.90,999.30,971.70,1020.30
1495,1980,11,10.70,14.00,7.40,19.40,1.60,13.20,8.60,0.00,128.70,29.10,12.00,5.00,12.00,0.00,0.00,180.00,56.16,1.00,0.00,11.16,4.60,47.00,989.00,1001.10,972.00,1019.80
1495,1980,12,7.60,11.30,3.80,14.40,-1.60,10.20,8.00,5.00,216.80,98.30,12.00,4.00,12.00,0.00,0.00,,,,,11.16,4.70,51.00,999.20,1010.30,982.30,1030.60
1495,1981,1,8.40,12.10,4.60,16.00,0.00,8.60,7.00,1.00,34.40,16.40,9.00,2.00,9.00,0.00,0.00,,,,,11.16,5.00,53.00,1000.40,1010.90,993.10,1031.80
1495,1981,2,8.40,12.40,4.40,18.20,0.00,9.00,8.00,1.00,170.40,69.30,14.00,4.00,14.00,0.00,0.00,230.00,70.92,2.00,0.00,11.16,5.50,52.00,991.90,1008.80,969.10,1023.00
1495,1981,3,11.50,14.40,8.50,22.60,2.60,16.00,9.40,0.00,262.40,59.80,21.00,8.00,21.00,0.00,0.00,320.00,96.84,8.00,1.00,15.84,3.30,28.00,986.60,995.70,968.30,1017.10
1495,1981,4,11.90,16.20,7.70,21.20,3.20,11.40,8.60,0.00,125.30,25.60,10.00,6.00,10.00,0.00,0.00,20.00,78.12,6.00,0.00,14.04,7.20,53.00,986.70,994.50,977.70,1017.20
1495,1981,5,12.50,15.60,9.40,25.20,6.00,13.00,11.40,0.00,192.80,24.20,28.00,8.00,28.00,0.00,0.00,180.00,60.12,5.00,0.00,15.12,4.00,28.00,986.60,996.50,969.50,1017.00
1495,1981,6,19.60,25.10,14.10,38.60,9.40,23.00,15.40,0.00,25.00,20.40,6.00,1.00,6.00,0.00,0.00,180.00,56.16,2.00,0.00,15.84,10.30,68.00,989.40,995.60,982.70,1019.10
1495,1981,7,20.00,25.40,14.50,35.00,10.00,19.20,17.00,0.00,1.50,1.00,3.00,0.00,3.00,0.00,0.00,360.00,59.04,1.00,0.00,15.84,10.90,73.00,992.00,998.30,983.30,1021.70
1495,1981,8,20.50,25.70,15.40,30.40,13.60,18.40,18.60,0.00,0.20,0.20,1.00,0.00,1.00,0.00,0.00,360.00,55.08,1.00,0.00,14.04,9.50,68.00,989.40,995.90,983.20,1019.00
1495,1981,9,17.50,21.40,13.50,32.00,10.20,17.60,15.60,0.00,212.90,57.00,12.00,6.00,12.00,0.00,0.00,290.00,86.04,3.00,0.00,11.16,5.80,46.00,989.30,995.50,969.50,1019.30
1495,1981,10,13.90,16.80,11.00,21.80,6.60,16.00,13.40,0.00,234.40,46.70,18.00,8.00,18.00,0.00,0.00,250.00,96.12,6.00,1.00,9.00,4.10,37.00,991.10,998.80,971.30,1021.50
1495,1981,11,13.80,18.10,9.50,22.60,6.00,12.40,13.40,0.00,0.50,0.40,2.00,0.00,2.00,0.00,0.00,180.00,39.96,0.00,0.00,7.92,6.20,64.00,996.60,1003.50,987.90,1027.20
1495,1981,12,9.90,12.20,7.50,15.40,0.40,14.40,7.00,0.00,716.30,78.70,26.00,20.00,26.00,0.00,0.00,180.00,92.16,15.00,1.00,15.12,1.90,20.00,983.20,1003.50,945.60,1013.80
1495,1982,1,9.80,12.90,6.70,17.40,1.60,12.20,9.00,0.00,158.30,39.10,15.00,5.00,,,,160.00,74.88,3.00,0.00,12.96,4.30,45.00,991.70,1005.50,969.60,1022.70
1495,1982,2,9.80,13.00,6.70,19.40,2.40,11.00,9.20,0.00,284.40,38.70,18.00,10.00,18.00,0.00,0.00,290.00,65.16,3.00,0.00,11.88,3.90,37.00,990.20,998.40,971.70,1021.10
1495,1982,3,10.60,14.90,6.30,21.40,1.80,10.40,10.60,0.00,59.90,21.00,13.00,2.00,13.00,0.00,0.00,230.00,54.00,0.00,0.00,11.88,6.40,54.00,993.70,1008.30,972.50,1024.60
1495,1982,4,14.10,19.50,8.70,25.60,5.20,14.80,12.00,0.00,35.90,12.40,7.00,1.00,7.00,0.00,0.00,90.00,65.88,2.00,0.00,15.12,8.20,60.00,986.30,1021.90,974.10,1016.60
1495,1982,5,13.80,17.80,9.90,24.00,2.80,14.20,12.00,0.00,56.60,23.50,13.00,2.00,13.00,0.00,0.00,180.00,57.96,2.00,0.00,14.04,7.40,51.00,991.00,997.60,982.90,1021.40
1495,1982,6,15.90,19.30,12.50,29.60,10.00,16.00,16.60,0.00,113.60,21.30,17.00,5.00,17.00,0.00,0.00,230.00,57.96,2.00,0.00,12.96,6.50,43.00,989.90,996.30,980.80,1020.00
1495,1982,7,18.10,21.70,14.40,30.40,12.20,17.60,14.40,0.00,43.40,20.50,7.00,2.00,7.00,0.00,0.00,180.00,47.16,0.00,0.00,11.88,6.70,45.00,989.50,996.30,983.60,1019.40
1495,1982,8,19.90,25.10,14.70,33.00,11.40,20.00,19.60,0.00,23.10,21.90,3.00,1.00,3.00,0.00,0.00,360.00,59.04,1.00,0.00,15.84,10.00,72.00,990.70,995.60,982.00,1020.40
1495,1982,9,18.70,23.10,14.20,33.40,10.00,18.60,15.00,0.00,174.10,62.90,12.00,5.00,12.00,0.00,0.00,180.00,56.16,1.00,0.00,11.16,5.70,44.00,989.20,997.20,975.90,1019.00
1495,1982,10,13.70,17.10,10.30,21.60,5.60,13.40,11.60,0.00,216.70,46.80,19.00,9.00,19.00,0.00,0.00,180.00,75.96,6.00,0.00,11.16,4.00,37.00,990.30,1001.60,978.10,1020.70
1495,1982,11,10.70,13.80,7.70,23.00,0.60,13.20,6.60,0.00,316.20,75.50,18.00,7.00,17.00,0.00,1.00,250.00,92.16,5.00,1.00,10.08,2.70,28.00,990.10,1002.30,940.10,1020.90
1495,1982,12,8.20,10.70,5.80,14.00,-1.20,12.00,6.00,3.00,402.60,70.50,24.00,15.00,24.00,0.00,0.00,270.00,100.08,6.00,1.00,12.96,2.10,23.00,996.20,1005.90,981.30,1027.50
1495,1983,1,8.20,12.00,4.40,17.60,0.00,11.40,5.40,2.00,32.90,16.90,7.00,1.00,7.00,0.00,0.00,180.00,50.04,0.00,0.00,9.00,4.20,44.00,1004.40,1013.20,996.80,1035.90
1495,1983,2,7.80,10.80,4.90,16.20,-2.80,12.60,5.00,6.00,196.70,57.00,21.00,5.00,16.00,5.00,0.00,290.00,54.00,0.00,0.00,12.96,2.90,28.00,990.70,1004.90,975.90,1021.80
1495,1983,3,12.20,16.60,7.90,22.40,3.20,12.40,10.60,0.00,65.70,15.50,14.00,3.00,14.00,0.00,0.00,360.00,57.96,2.00,0.00,12.96,5.80,49.00,993.80,1002.30,980.50,1024.50
1495,1983,4,10.50,13.80,7.20,26.40,2.60,14.40,9.40,0.00,364.70,47.30,26.00,15.00,22.00,0.00,4.00,200.00,81.00,4.00,0.00,16.92,3.30,24.00,984.20,998.70,972.70,1014.80
1495,1983,5,11.70,14.70,8.70,24.40,5.20,11.20,11.40,0.00,298.50,62.80,25.00,10.00,25.00,0.00,0.00,180.00,77.04,4.00,0.00,14.04,4.60,31.00,986.40,997.10,973.70,1016.90
1495,1983,6,18.90,24.00,13.90,30.60,10.20,16.60,16.20,0.00,33.80,27.90,5.00,1.00,5.00,0.00,0.00,200.00,70.92,1.00,0.00,15.12,9.50,62.00,990.20,999.60,978.80,1019.90
1495,1983,7,18.50,22.00,15.00,31.00,12.80,18.00,17.00,0.00,49.80,15.90,19.00,2.00,19.00,0.00,0.00,160.00,47.88,0.00,0.00,12.96,5.60,37.00,988.40,993.30,947.10,1018.20
1495,1983,8,19.20,23.30,15.00,33.40,11.60,16.80,18.00,0.00,93.50,48.90,11.00,3.00,11.00,0.00,0.00,50.00,47.16,0.00,0.00,14.04,6.20,45.00,990.00,995.10,981.70,1019.80
1495,1983,9,18.70,23.20,14.20,35.00,9.20,18.80,17.60,0.00,47.30,13.40,10.00,1.00,10.00,0.00,0.00,320.00,38.88,0.00,0.00,11.16,6.20,49.00,991.20,1003.10,983.10,1021.10
1495,1983,10,15.40,19.50,11.30,25.40,7.00,16.20,15.40,0.00,80.20,31.00,8.00,3.00,8.00,0.00,0.00,230.00,59.04,2.00,0.00,10.08,6.10,55.00,993.90,1001.10,985.90,1024.20
1495,1983,11,13.90,16.60,11.20,19.60,6.40,14.00,14.40,0.00,187.10,26.60,22.00,7.00,22.00,0.00,0.00,140.00,57.96,2.00,0.00,9.00,2.30,23.00,985.90,1000.30,973.20,1016.20
1495,1983,12,9.80,13.20,6.50,19.40,2.20,12.40,6.80,0.00,436.90,74.70,13.00,10.00,10.00,0.00,3.00,230.00,101.88,7.00,1.00,14.04,4.00,43.00,990.00,1007.60,959.60,1020.80
1495,1984,1,8.20,10.70,5.70,13.00,0.00,10.00,7.00,1.00,521.10,82.70,26.00,14.00,26.00,0.00,0.00,230.00,74.88,4.00,0.00,12.96,1.80,19.00,995.70,1007.10,979.50,1026.90
1495,1984,2,8.10,12.00,4.10,16.60,-1.20,9.00,10.00,2.00,125.40,36.90,12.00,3.00,12.00,0.00,0.00,320.00,84.96,3.00,0.00,11.88,4.70,44.00,994.90,1007.70,978.80,1026.10
1495,1984,3,9.20,13.50,4.80,19.20,0.00,11.40,6.40,4.00,280.40,60.80,15.00,7.00,15.00,0.00,0.00,200.00,77.04,7.00,0.00,12.96,4.90,42.00,984.30,996.10,971.50,1015.10
1495,1984,4,15.20,19.20,11.10,27.60,7.40,16.00,11.20,0.00,178.90,44.10,16.00,4.00,16.00,0.00,0.00,290.00,57.96,1.00,0.00,11.16,5.90,44.00,985.20,993.70,972.30,1015.30
1495,1984,5,11.60,15.60,7.60,21.00,4.00,11.00,11.40,0.00,165.70,43.80,19.00,5.00,19.00,0.00,0.00,270.00,68.04,2.00,0.00,15.84,6.40,44.00,983.10,993.10,966.80,1013.60
1495,1984,6,18.00,22.70,13.20,31.40,5.60,19.00,11.60,0.00,83.70,29.60,13.00,3.00,13.00,0.00,0.00,230.00,66.96,2.00,0.00,12.96,8.00,52.00,988.10,994.30,975.10,1017.90
1495,1984,7,18.40,22.90,13.90,30.60,11.60,16.40,16.40,0.00,29.60,16.50,8.00,1.00,8.00,0.00,0.00,270.00,50.04,0.00,0.00,11.16,8.60,58.00,989.90,996.00,980.80,1019.70
1495,1984,8,19.80,25.00,14.50,34.60,11.60,19.40,18.40,0.00,51.40,22.60,6.00,2.00,6.00,0.00,0.00,160.00,55.08,1.00,0.00,12.96,9.70,70.00,989.40,997.30,978.10,1019.00
1495,1984,9,17.80,22.70,12.90,28.00,9.40,18.60,17.80,0.00,93.50,58.80,9.00,3.00,9.00,0.00,0.00,180.00,54.00,0.00,0.00,14.04,7.00,56.00,989.20,993.60,980.30,1019.10
1495,1984,10,14.80,18.80,10.80,25.60,6.40,15.00,14.40,0.00,203.20,63.60,12.00,6.00,12.00,0.00,0.00,230.00,101.16,3.00,1.00,10.08,5.00,45.00,990.90,1003.70,962.10,1021.20
1495,1984,11,10.80,13.60,8.10,17.00,4.00,15.20,10.00,0.00,473.70,82.10,23.00,13.00,22.00,0.00,1.00,180.00,83.88,6.00,0.00,12.96,2.00,21.00,981.10,998.70,964.10,1011.50
1495,1984,12,9.20,12.00,6.30,16.60,2.40,9.60,7.60,0.00,195.30,30.10,17.00,8.00,17.00,0.00,0.00,160.00,65.16,2.00,0.00,9.00,2.80,31.00,993.50,1004.40,973.50,1024.50
1495,1985,1,6.50,9.90,3.00,15.20,-3.60,10.40,5.20,10.00,283.00,66.20,16.00,9.00,16.00,0.00,0.00,230.00,96.84,6.00,1.00,12.96,3.70,39.00,984.40,1001.60,962.00,1015.50
1495,1985,2,10.70,14.10,7.20,16.40,2.00,12.00,11.20,0.00,331.50,49.30,18.00,10.00,18.00,0.00,0.00,180.00,75.96,6.00,0.00,15.12,3.30,31.00,985.90,1000.40,968.40,1016.50
1495,1985,3,9.60,13.60,5.50,20.60,1.60,8.80,8.00,0.00,264.70,43.80,21.00,11.00,21.00,0.00,0.00,230.00,72.00,8.00,0.00,14.04,4.20,36.00,990.00,1001.70,971.50,1020.90
1495,1985,4,12.70,17.10,8.40,26.40,4.00,13.40,9.20,0.00,164.90,31.30,15.00,7.00,15.00,0.00,0.00,160.00,74.16,6.00,0.00,15.12,5.00,37.00,985.30,1003.30,967.30,1015.70
1495,1985,5,13.50,17.70,9.30,26.60,4.40,15.00,10.60,0.00,73.50,24.00,13.00,1.00,,,,140.00,68.04,3.00,0.00,15.12,7.50,51.00,985.40,995.90,978.80,1015.70
1495,1985,6,17.10,21.50,12.60,28.60,9.20,16.60,15.40,0.00,110.20,39.60,9.00,3.00,,,,290.00,47.16,0.00,0.00,11.88,9.10,60.00,988.10,995.20,979.50,1017.90
1495,1985,7,19.60,24.40,14.90,33.60,12.20,19.20,17.60,0.00,61.10,33.60,10.00,2.00,,,,230.00,60.84,1.00,0.00,12.96,8.70,58.00,989.00,993.60,982.70,1018.60
1495,1985,8,17.80,22.60,13.00,28.80,10.40,16.40,17.20,0.00,45.20,13.90,8.00,3.00,,,,270.00,50.04,0.00,0.00,12.96,9.70,70.00,991.00,996.80,985.30,1020.90
